epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,843.204,0.88779,0.46831,0.91835,0.91653,0.93597,0.97503,0.73361,0.97746,0.47274,0.95408,0.000508571,0.000508571,0.000508571
60,856.687,0.88194,0.45773,0.91285,0.92329,0.93917,0.97524,0.73604,0.97702,0.47225,0.95143,0.000482857,0.000482857,0.000482857
61,875.112,0.86633,0.43974,0.91184,0.91707,0.93917,0.9724,0.73784,0.96503,0.4723,0.94802,0.000457143,0.000457143,0.000457143
62,888.438,0.86189,0.44074,0.90848,0.90221,0.94528,0.97106,0.73044,0.97623,0.47778,0.9523,0.000431429,0.000431429,0.000431429
63,903.168,0.85827,0.43495,0.9108,0.92416,0.92333,0.9752,0.7253,1.00076,0.48624,0.96154,0.000405714,0.000405714,0.000405714
64,918.165,0.8487,0.42582,0.91369,0.9225,0.9445,0.97126,0.7362,0.97234,0.4655,0.95064,0.00038,0.00038,0.00038
65,929.593,0.8638,0.43474,0.91146,0.91499,0.93597,0.97299,0.7353,0.97032,0.46915,0.95046,0.000354286,0.000354286,0.000354286
66,944.191,0.8526,0.42932,0.90338,0.92228,0.93716,0.97503,0.7391,0.95795,0.46255,0.94871,0.000328571,0.000328571,0.000328571
67,958.689,0.84491,0.42424,0.9062,0.90888,0.9445,0.97081,0.72693,0.99735,0.47691,0.95947,0.000302857,0.000302857,0.000302857
68,971.522,0.84213,0.42549,0.90554,0.90447,0.94985,0.97106,0.73759,0.96287,0.46771,0.94957,0.000277143,0.000277143,0.000277143
69,984.65,0.82787,0.41613,0.90351,0.92987,0.93401,0.97137,0.73777,0.95992,0.46683,0.94752,0.000251429,0.000251429,0.000251429
70,999.154,0.83474,0.41531,0.90078,0.93486,0.93063,0.97606,0.73797,0.96838,0.46137,0.94929,0.000225714,0.000225714,0.000225714
